input,label,output
Parent 1: Students are listening to classical music. Parent 2: So you're telling me our children are getting schooled on ancient tones and rhythms instead of studying? So the students must never listen to music.,8,fallacy of extension
"Musicologists claim that listening to classical music improves students' learning, so we should believe this opinion.",9,fallacy of credibility
"Since no one knows what the students are doing, they must be listening to classical music.",10,intentional fallacy
"If students study, then they listen to classical music. The students are not studying. Therefore, they are not listening to classical music.",11,deductive fallacy
"X is talking about Y. X is a part of our group chat. Therefore, everyone in our group chat is talking about Y.",0,faulty generalization
"Every time X talks about Y, Y gets upset. Therefore, talking about Y must be the cause of Y's sadness.",1,false causality
X is discussing Y because X is involved in a conversation about Y.,2,circular reasoning
"Most people say that X is talking about Y, hence it must be true that X is indeed discussing Y.",3,ad populum
"""X is either spreading rumors about Y or X has some lingering tensions with Y.""",4,false dilemma
"X is talking about Y, but the real concern should be the decline in local business.",5,fallacy of relevance
"X can't possibly know anything about Y, have you seen their grades? They barely passed high school!",6,ad hominem
"If you let X continue to talk about Y, it will cause a lot of problems. Don't you feel anxious and scared about the potential damage it can cause?",7,appeal to emotion
Person A: X is talking about Y. Person B: So you mean X is gossiping about Y all the time? And that's a bad thing?,8,fallacy of extension
"Professor X, an intellectual authority in his field, is talking about Y. Given his position, Y must be important.",9,fallacy of credibility
X is talking about Y because no one knows what X is talking about.,10,intentional fallacy
"If X is talking about Y, X finds Y likeable. But X is not talking about Y, so X dislikes Y.",11,deductive fallacy
"X is so happy to see Y. X is a human being. Therefore, all human beings are happy to see Y.",0,faulty generalization
X saw Y and then he became incredibly happy. We can clearly see that Y is the sole reason for X's happiness.,1,false causality
X is so happy to see Y because X is so glad to see Y.,2,circular reasoning
"It's widely believed that X is so happy to see Y, hence it must be undeniably factual.",3,ad populum
"""X is either so happy to see Y due to their romantic feelings, or X is merely putting on a facade.""",4,false dilemma
"X is so happy to see Y, yet we should really think about how often people get depressed due to loneliness.",5,fallacy of relevance
X is just happy to see Y because X is a hopeless romantic who falls in love too easily. Their opinion is biased and should not be taken seriously.,6,ad hominem
"X is over the moon whenever he sees Y. Imagine the heartbreak, the soul-crushing disappointment, if Y were to disappear.",7,appeal to emotion
"X says: I am so happy to see Y. Z replies: So, you're saying that Y is the only person who can make you happy, huh?",8,fallacy of extension
"The beloved and respected X is so happy to see Y, so we should all be happy to see Y too.",9,fallacy of credibility
X must be happy to see Y because no one saw X being unhappy around Y.,10,intentional fallacy
"Should X receive a positive exam result, X's happiness upon seeing Y is inevitable. X exhibits joy upon Y's presence. Hence, it's a certainty that X did well on the exam.",11,deductive fallacy
"X accepted Y's suggestion. X is a member of our organization. Therefore, our organization always accepts Y's suggestions.",0,faulty generalization
"X accepted Y's suggestion and afterward X's project was a great success. Therefore, it was Y's advice that led to the success of X's project.",1,false causality
X accepted Y's suggestion because Y gave a suggestion that X accepted.,2,circular reasoning
"Many people believe that X accepted Y's suggestion. Therefore, Y's suggestion must have been the best option.",3,ad populum
"""X either embraced Y's proposal due to Y being the supervisor, or X lacks the competence to form his own choices.""",4,false dilemma
"X accepted Y's suggestion, but let's not forget that Y also failed the last project.",5,fallacy of relevance
"X is an inexperienced newbie, therefore we shouldn't trust his decision to accept Y's suggestion.",6,ad hominem
"X accepted Y's suggestion because Y cried when X initially declined. To avoid causing more distress, X begrudgingly accepted.",7,appeal to emotion
Person A: X accepted Y's suggestion. Person B: So X just blindly follows whatever Y says?,8,fallacy of extension
"Forbes 500 listed billionaire X accepted Y's suggestion, therefore Y's advise must be beneficial.",9,fallacy of credibility
"X accepted Y's suggestion, therefore Y must have had a great level of influence over X.",10,intentional fallacy
"If X dislikes a suggestion, then X will not accept it. X liked the suggestion. Therefore, X accepted it.",11,deductive fallacy
"X remains silent all the time. X is a member of the school debate team. Therefore, all members of the school debate team remain silent all the time.",0,faulty generalization
"X remains silent all the time. Therefore, X's silence is causing tension in the room.",1,false causality
X is quiet because he remains silent all the time.,2,circular reasoning
"A lot of people have noticed that X is always silent, so it must be the truth that he is an introvert.",3,ad populum
"""X is always silent, indicating that he either prefers minimal verbal communication or lacks interest in socializing.""",4,false dilemma
"X remains silent all the time, however instead of his silence, the real issue we should be discussing is the rising levels of noise pollution.",5,fallacy of relevance
"X can't possibly have a valid opinion on this matter. They're always silent, so they probably don't even understand what we're discussing.",6,ad hominem
"X must always be silent because he isn't smart enough to answer when spoken to. Look at the poor thing, always quiet and withdrawn, surely this is a sign of lack of wit.",7,appeal to emotion
"Angel: X remains silent all the time.  Devil: So you're saying X is incapable of expressing any emotions or thoughts, like a statue in the park?  That's too far-fetched.",8,fallacy of extension
"X, the deep thinker, remains silent all the time since he always concentrates. Therefore, his actions are purposeful and meaningful.",9,fallacy of credibility
X remains silent all the time because no one ever proved he could talk.,10,intentional fallacy
"Since X is silent, he has nothing to contribute; X has indeed nothing to contribute, and therefore X remains silent all the time.",11,deductive fallacy
"X missed the train. X is a human. Therefore, all humans miss trains.",0,faulty generalization
"X missed the train and he was late. Surely, his late must be the reason why he miseed the train.",1,false causality
X failed to catch the train because X missed the train.,2,circular reasoning
"Many people think X missed the train, thus it is a fact that he did.",3,ad populum
"""Either the train was missed by X due to his tardiness, or he simply has no regard for timeliness.""",4,false dilemma
"X missed the train, but we should be looking into the impact of public transportation on the environment.",5,fallacy of relevance
"X missed the train. But frankly, X is an idiot. So, it's no surprise that he missed the train.",6,ad hominem
"X's heart was filled with tears as he watched the train move; he had a great dream, a dream that filled his sleepless nights and restless days. Oh, I can't believe he missed the train!",7,appeal to emotion
"A: X missed the train. B: So, you're insinuating that X is incapable of being punctual?",8,fallacy of extension
He knows everything and he said X missed the train. So we should believe this.,9,fallacy of credibility
X missed the train because no one saw him catch it.,10,intentional fallacy
"If X woke up late, then X missed the train. X missed the train. Therefore, X woke up late.",11,deductive fallacy
"X and Y plan a vacation trip. X and Y are my friends. Therefore, all of my friends are planning a vacation trip.",0,faulty generalization
"X and Y planned a vacation trip and subsequently, they had a fight. Therefore, planning the vacation trip caused their fight.",1,false causality
X and Y plan a vacation trip because they're good at planning. They're good at planning because they plan a vacation trip.,2,circular reasoning
"A lot of people believe X and Y plan a vacation trip, therefore, it must be a fact that they are planning.",3,ad populum
"""X and Y are either planning a vacation trip to fix issues in their relationship, or as an escape from their mundane lifestyles.""",4,false dilemma
"X and Y plan a vacation trip, but the real issue is not their vacation, but rather ensuring every child receives an education.",5,fallacy of relevance
"X and Y are planning a vacation trip. X is known to be an absent-minded person. Therefore, their trip planning is likely to be flawed.",6,ad hominem
You must take a trip with X and Y. Think about the great memories and bonding time you'll create.,7,appeal to emotion
"Person A: X and Y plan a vacation trip. Person B: So you mean X and Y want to just uproot their entire lives and become travelers, neglecting their responsibilities at home?",8,fallacy of extension
"Travel enthusiasts X and Y plan a vacation trip. Therefore, their choices about holiday destinations must be considered better.",9,fallacy of credibility
"X and Y are planning a vacation trip because, until now, nobody has proven they aren't.",10,intentional fallacy
"If X or Y plan a trip, they are going on vacation. Y is planning a trip. Therefore, X is not planning the trip.",11,deductive fallacy
"X does not enjoy movies. X is a teenager. Therefore, all teenagers do not enjoy movies.",0,faulty generalization
"X does not enjoy movies and then he started reading more books. Thus, disliking movies causes X to start reading more books.",1,false causality
X does not enjoy movies because X doesn't like films.,2,circular reasoning
"Most people think that X does not enjoy movies, therefore, it must be true that he does not.",3,ad populum
"""X either refrains from visiting a cinema owing to his lack of enjoyment for movies, or he has no interest in any form of amusement.""",4,false dilemma
"X does not enjoy movies, but the more pressing concern should be the negative impacts of excessive screen time in general on our health.",5,fallacy of relevance
"X does not like movies, likely because he's an uninteresting person. Therefore, movies are great.",6,ad hominem
X must hate being happy and relaxed since he doesn't enjoy watching movies. Movies provide such a great escape from our stressful reality.,7,appeal to emotion
"A: X does not enjoy movies. B: So, you're saying X is opposed to the concept of entertainment and fun? That's ridiculous!",8,fallacy of extension
"World-renowned actor X claims that he does not enjoy movies. X has been in the film industry for years, so his words carry weight. Hence, we should believe that movies might not be enjoyable.",9,fallacy of credibility
"Since no one has proven that X loves movies, it is therefore safe to say that X doesn't enjoy them.",10,intentional fallacy
"If X enjoys movies, then he enjoys going to the cinema. X does not enjoy movies. Therefore, X does not enjoy going to the cinema.",11,deductive fallacy
"X rushes Y to the hospital. Y is a patient, so X will take all the patients to the hospital.",0,faulty generalization
"X rushed Y to the hospital and she miraculously recovered. Therefore, it was X's act of rushing her that healed her.",1,false causality
X is being helpful because he rush Y to the hospital and Y is rushed to the hospital because X is helpful.,2,circular reasoning
"Most people think X rushing Y to the hospital is for a serious reason, therefore it must be serious.",3,ad populum
"""Either X hastily transports Y to the hospital due to Y's critical state, or X is overly anxious and blowing things out of proportion.""",4,false dilemma
"X rushes Y to the hospital, but that's not going to solve the problem of traffic congestion in our city.",5,fallacy of relevance
"X is saying he rushed Y to the hospital. But X is known to be irresponsible and reckless, so his claim cannot be true.",6,ad hominem
X rushed Y to the hospital! Can't you just imagine Y's terror as they struggled to find help? We must commend X's heroic actions and courage.,7,appeal to emotion
A: X rushes Y to the hospital. B: So you're saying that X is responsible for Y's condition and rushes him to the hospital?,8,fallacy of extension
"X, a professional car racer, rushes Y to the hospital. Since X has great driving skills, Y must receive the best immediate attention.",9,fallacy of credibility
"No one knows who rushed Y to the hospital, so it was X.",10,intentional fallacy
"If X is a doctor, then X can rush Y to the hospital. X does rush Y to the hospital. Therefore, X is a doctor.",11,deductive fallacy
"I must organize the bedroom today. I am a person living in a house. Therefore, all people living in a house must organize their bedrooms today.",0,faulty generalization
"When I organized the bedroom, I found an old photo. Obviously, organizing the bedroom causes old memories to resurface.",1,false causality
It's necessary to organize the bedroom today because I need to get the bedroom organized.,2,circular reasoning
"A sizable number of people think that I must organize the bedroom today. Therefore, it is essential that I do so.",3,ad populum
"""Either I'll be living in mess forever, or I must organize the bedroom today.""",4,false dilemma
"It is claimed that I must organize the bedroom today, whereas we should be worried about global water shortages.",5,fallacy of relevance
He can't possibly give us tips on how to organize the bedroom. He's a total slob.,6,ad hominem
"Today, I need to organize the bedroom. If I don't, I will feel disoriented and anxious in the cluttered space, affecting my entire day badly.",7,appeal to emotion
"A: I must organize the bedroom today. B: So you're saying we should live a boring, routine life and everything should always be squeaky clean?",8,fallacy of extension
"Marie Kondo, a renowned organizing expert, agrees that I must organize the bedroom today. Therefore, it is the best course of action.",9,fallacy of credibility
"I must organize the bedroom today because if I don't, I predict everything will be a messy chaos.",10,intentional fallacy
"If the bedroom is disorganized, I have to organize it today. The bedroom is not disorganized. Therefore, I do not have to organize it today.",11,deductive fallacy
"Pets are allowed in some managed buildings. My apartment building is a managed building. Therefore, pets are allowed in all the buildings in our community.",0,faulty generalization
"Pets are in some managed buildings. Therefore, allowing pets must be causing the buildings to be managed.",1,false causality
Pets are allowed in these buildings because the buildings allow pets.,2,circular reasoning
"It is widely accepted that pets are allowed in some managed buildings, so it must be a fact.",3,ad populum
"""Either all managed buildings permit pets, or every building's management detests pets.""",4,false dilemma
"Pets are allowed in some managed buildings, yet it would be better to prioritize the need for more parking spaces.",5,fallacy of relevance
"The building manager says pets are allowed in some buildings. But this is the same guy who can't remember where he parked his car. Clearly, his claim isn't true.",6,ad hominem
"Think about all those cute, friendly and sweet animals – who could deny them the right to be housed in managed buildings? But note, such allowance doesn't necessarily imply the building is well-suited for pets.",7,appeal to emotion
Person 1: Pets are allowed in some managed buildings. Person 2: So you're suggesting that management encourages pest infestation and ruins property values through pet allowance? That's a ridiculous notion.,8,fallacy of extension
"The management of some buildings allow pets. Since they are professionals in real estate management, their decision of allowing pets must be sound.",9,fallacy of credibility
Pets are allowed in some managed buildings because no one has provided evidence that they're prohibited.,10,intentional fallacy
"If pets are allowed a building, then the building is well managed. This building is not pet friendly, therefore it is not well managed.",11,deductive fallacy
"The soccer game I watched ended in a draw. That soccer game was a national league game, so all national league soccer games end in a draw.",0,faulty generalization
"The soccer game ended in a draw after I missed it. Thus, my missing caused the draw of the soccer game.",1,false causality
The match ended in a draw because no team won. No team won because the match ended in a draw.,2,circular reasoning
"Many people agree that the soccer game ended in a draw, therefore it was a draw.",3,ad populum
"""Should the soccer match conclude with a draw, it's either the case that the team's strategy faltered, or the umpire favored one side.""",4,false dilemma
"The soccer game ended in a draw, but the real issue is reducing violence in sports.",5,fallacy of relevance
"John says the soccer game ended in a draw. But John flunked math in school, so he can't possibly understand the intricacies of score-keeping.",6,ad hominem
"You can't believe that the soccer game ended in a draw, can you? Think about the efforts that the players put in, they were incredibly passionate and played with all their hearts out.",7,appeal to emotion
Fan 1: The soccer game ended in a draw. Fan 2: So you're saying both teams played so badly that they couldn't even score a goal? That's ridiculous!,8,fallacy of extension
"Highly respected sports analysts declared the soccer game ended in a draw. Hence, it must be a balanced game.",9,fallacy of credibility
"Since no one knows which team won, the soccer game ended in a draw.",10,intentional fallacy
"If a soccer game ends in a draw, then the two teams are equally matched. However, the soccer game is not a draw, so the two teams are not equally strong.",11,deductive fallacy
"The concert was cancelled due to bad weather. This concert was an outdoor event. Therefore, all outdoor events are cancelled due to bad weather.",0,faulty generalization
"The concert was cancelled and the weather was bad, so the cancellation must have caused the bad weather.",1,false causality
The concert was cancelled which is the reason why the concert got called off.,2,circular reasoning
"Due to the widespread notion that bad weather led to the concert's cancellation, it is then established as a fact.",3,ad populum
"""The concert was called off because of poor weather conditions, or the band simply did not have the necessary skill to perform.""",4,false dilemma
"The concert was cancelled due to bad weather, although it's more pertinent to discuss declining interest in this type of music.",5,fallacy of relevance
"Of course you'd support the concert being cancelled due to bad weather, you can't even carry a tune. Your opinion on this doesn't count.",6,ad hominem
"Think about how hard the artists practiced for this concert, only to be overshadowed by bad weather. It really draws tears to your eyes, doesn't it? So it's absolutely justified for the concert to be cancelled.",7,appeal to emotion
Mike: The concert was cancelled due to bad weather. Jill: So what you're saying is that promoters should be weather geniuses to decide when to schedule a concert?,8,fallacy of extension
"The local weather station said the concert was cancelled due to bad weather. They're always correct on these matters, therefore the concert cancellation was justified.",9,fallacy of credibility
"You can't prove that the concert was cancelled for any other reason, so it must have been due to the bad weather.",10,intentional fallacy
"If the concert was cancelled, then it must be bad weather. The concert is not cancelled. Therefore, the weather is nice.",11,deductive fallacy
My laptop was stolen when I left it in the cafetaria. Therefore all cafetarias are unsafe for keeping valuable items.,0,faulty generalization
"My laptop was stolen right after I left it unattended at the café. Therefore, leaving it unattended caused it to be stolen.",1,false causality
My laptop was stolen because Someone stole my laptop.,2,circular reasoning
"So it's universally accepted that my laptop was stolen; hence, it is unquestionably the reality.",3,ad populum
"""My laptop has either been snatched by a criminal, or I just heedlessly lost it somewhere.""",4,false dilemma
"My laptop was stolen, but let's discuss cell phone addiction among teenagers instead.",5,fallacy of relevance
"You claim that your laptop was stolen, but you are the one who failed the IT class. Clearly, you don't know much about computers, so your claim isn't credible.",6,ad hominem
"I am really distraught that my laptop was stolen. Please trust me, it's true. I had all my life's work on it.",7,appeal to emotion
"Person A: My laptop was stolen. Person B: So you're saying you left your laptop in an insecure place, inviting theft? That's irresponsible.",8,fallacy of extension
"The police say my laptop was stolen. They're the authorities who solve crimes, therefore it must be true.",9,fallacy of credibility
My laptop was stolen because no one was sure it wasn't lost.,10,intentional fallacy
"If my laptop was not at the office, then it would be stolen. My laptop was stolen. Hence, my laptop was not at the office.",11,deductive fallacy
"The garden in my home needs watering. Gardens are a part of homes. Therefore, all homes need watering.",0,faulty generalization
"I watered the garden and then flowers bloomed. Therefore, watering caused the flowers to bloom.",1,false causality
Watering is needed in the garden because the garden needs watering.,2,circular reasoning
"A lot of people think that the garden needs watering, therefore it must be right.",3,ad populum
"""The garden either requires watering or it has reached an irrevocable state of death.""",4,false dilemma
"The garden needs watering, but what about the larger issue of water conservation?",5,fallacy of relevance
"Jane claims the garden needs watering, but she is an incompetent gardener. Therefore, the garden does not need watering.",6,ad hominem
The garden is practically begging for water. Can't you hear its thirsty leaves crying out for a refreshing splash of water? Let's not disappoint the poor plants.,7,appeal to emotion
Person A: The garden needs watering. Person B: So you're saying we should neglect everything else and just focus on the garden?,8,fallacy of extension
He knows everything and he said the garden needs watering. So we should believe this.,9,fallacy of credibility
The garden does need watering because no one said it didn't.,10,intentional fallacy
"If the garden needs watering, it will inevitably be sweltering outside. Gardens don't need watering, so it's cool outside.",11,deductive fallacy
"The cake has a cherry on top. The cake is a baked good. Therefore, all baked goods have a cherry on top.",0,faulty generalization
The cake has a cherry on top and it's delicious. Thus it must be the cherry that made the cake delicious.,1,false causality
The cake is topped with a cherry because it has a cherry on top.,2,circular reasoning
"Since most believe that the cake has a cherry on top, it must undoubtedly have one.",3,ad populum
"""If it's not a black forest cake with a cherry on top, then it must not be a cake.""",4,false dilemma
"The cake has a cherry on top, but isn't it more important to talk about the excessive use of sugar in our foods, which leads to diabetes?",5,fallacy of relevance
"Baker Tom says the cake has a cherry on top. But Tom failed his health inspection last month, so the cake obviously doesn't have a cherry on top.",6,ad hominem
"Believe me, that cake with the cherry on top is delicious. It generates an instant sense of happiness and a feeling of comfort. You don't need to try it to know it's true.",7,appeal to emotion
Customer: The cake has a cherry on top. Baker: So you're saying that it's filled with cherries? That's just absurd.,8,fallacy of extension
The cake has a cherry on top. The well-respected baker said so. Therefore it must be true.,9,fallacy of credibility
"Since no one knows what's on this cake, it has a cherry on top.",10,intentional fallacy
"Should a cake be adorned with a cherry on top, that means it's a fruit cake. This cake is a fruit cake, so it must have a cherry on top.",11,deductive fallacy
"Lighters cannot be carried on airplanes. Lighters are a personal item, so all personal items cannot be carried on airplanes.",0,faulty generalization
"Lighters cannot be carried on airplanes. Hence, carrying a lighter leads to plane crashes.",1,false causality
Airplanes don't permit the carrying of lighters because lighters cannot be carried on airplanes.,2,circular reasoning
"A lot of people believe that lighters cannot be carried on airplanes. Therefore, this must be an essential security measure.",3,ad populum
"""We either ban lighters from airplanes, or we risk summoning a possible fire danger.""",4,false dilemma
Lighters cannot be carried on airplanes. This implies that our priority should be the effects of smoking on public health.,5,fallacy of relevance
"The TSA agent is saying lighters cannot be carried on airplanes. But he failed his high school physics class. Therefore, his claim is not true.",6,ad hominem
"If you attempt to bring a lighter onto an airplane, you're practically inviting a disaster. Can you imagine the fear and panic you'd cause among the innocent families, children, and elders on that flight?",7,appeal to emotion
"Security Agent: Lighters cannot be carried on airplanes. Passenger: So, you're saying all travelers are potential fire hazards?",8,fallacy of extension
"The Federal Aviation Administration states that lighters cannot be carried on airplanes. They are experts in aviation safety, therefore as passengers, we should respect their directives.",9,fallacy of credibility
"Since no one said lighters can be taken on airplanes, this is not allowed.",10,intentional fallacy
"If lighters are flammable, they cannot be carried on airplanes. Lighters cannot be carried on airplanes. Therefore, lighters are flammable.",11,deductive fallacy
"It is snowing in the desert. The desert is a type of geographical area. Therefore, all geographical areas experience snow.",0,faulty generalization
"It started snowing in the desert right after I arrived. So, my arrival must have caused the snowfall in the desert!",1,false causality
It's snowing in the desert because the desert is witnessing snowfall.,2,circular reasoning
"Most people say it's snowing in the desert, so this must indeed be the case.",3,ad populum
"""Either climate change is the reason it's snowing in the desert, or it's an inexplicable miracle we are experiencing.""",4,false dilemma
"It's snowing in the desert, yet we are not addressing the larger issue of water scarcity in most urban areas.",5,fallacy of relevance
"John suggested it's snowing in the desert, but he is such an idiot, so it is not true.",6,ad hominem
"Can you imagine the sheer wonder of snow in the desert? It is quite breathtaking and majestic. Thus, it's undeniably true that it's snowing in the desert right now.",7,appeal to emotion
Person A: It's snowing in the desert. Person B: So you're suggesting that arid regions are now becoming colder and glaciers are forming in the middle of Sahara? That's absurd!,8,fallacy of extension
"The top weather experts report it's snowing in the desert. They are experts in meteorology, therefore this report should be believed.",9,fallacy of credibility
"You can't provide evidence that it's not snowing in the desert, therefore it must be true.",10,intentional fallacy
"Since it's snowing, it must be winter. It's winter in the desert, so it must be snowing there.",11,deductive fallacy
"It may rain tomorrow. Tomorrow is a day in April. Therefore, it rains every day in April.",0,faulty generalization
"Every time I wash my car, it rains the next day. So, it may rain tomorrow because I washed my car today.",1,false causality
It may rain tomorrow because the sky may be cloudy. The sky may be cloudy because it may rain tomorrow.,2,circular reasoning
"Most people think it may rain tomorrow, so it must be going to rain tomorrow.",3,ad populum
"""Tomorrow's precipitation is either a reality, or the meteorological predictions are deceiving us.""",4,false dilemma
"It may rain tomorrow, however, we need to worry about our country's current economic state instead.",5,fallacy of relevance
"Bob says it may rain tomorrow, but he has failed his weather forecasting class. Therefore, it's not going to rain tomorrow.",6,ad hominem
It might rain tomorrow. Think about how disappointing it will be for the kids if their playdate gets rained out. They've been anticipating it all week.,7,appeal to emotion
Person X: It may rain tomorrow. Person Y: So you're saying we're going to be flooded?,8,fallacy of extension
She knows everything and he said it may rain tomorrow. So we should believe this.,9,fallacy of credibility
"If you can't prove that it won't rain tomorrow, then it must indeed rain.",10,intentional fallacy
"If it's cloudy, it may rain tomorrow. It may rain tomorrow. Therefore, it's cloudy today.",11,deductive fallacy
"Chocolate truffles are loaded with calories. I once ate a chocolate bar that was high in calories. Therefore, all chocolate products must be unhealthy.",0,faulty generalization
"Melatonin helps relieve jet lag. My friend used it once and felt better. Therefore, melatonin cures all sleep problems.",0,faulty generalization
"Not all political candidates are completely truthful. One candidate lied during a debate. Therefore, no politician can be trusted.",0,faulty generalization
"Naomi Osaka plays professional tennis. I saw her win a match. Therefore, all tennis players must be champions like her.",0,faulty generalization
"All film stars are celebrities. I saw one on TV last night. Therefore, anyone who appears on TV must be a celebrity.",0,faulty generalization
"Some film stars are men. Brad Pitt is a male film star. Therefore, most film stars must be men.",0,faulty generalization
"Tortured prisoners will say anything just to relieve the pain. One prisoner confessed falsely under torture. Therefore, no confession under pressure is ever true.",0,faulty generalization
"All mammals have hearts. I have a dog that's a mammal. Therefore, every animal must have a heart.",0,faulty generalization
"Some books are written by artificial intelligence. I read one that was. Therefore, soon all books will be written by AI.",0,faulty generalization
"My cousin trains daily. Therefore, everyone who trains daily must be an Olympic athlete.",0,faulty generalization
"Some teachers assign homework over the weekend. My teacher did last week. Therefore, all teachers give weekend homework.",0,faulty generalization
"My neighbor has never traveled abroad. He's a retired man. Therefore, all retired people must have stayed in their home country.",0,faulty generalization
"Jon has cooked steak that other chefs consider restaurant quality. I tried it once. Therefore, Jon is better than most chefs.",0,faulty generalization
"Cryptocurrency prices fluctuate wildly. I lost money on Bitcoin once. Therefore, all cryptocurrencies are a scam.",0,faulty generalization
"Honey never spoils. I've had the same jar for years. Therefore, all sweet foods last forever.",0,faulty generalization
"Many people believe time helps emotional recovery. My cousin got over a breakup in a week. Therefore, time heals everything.",0,faulty generalization
"The Great Wall of China is visible from space. My teacher said so once. Therefore, all large buildings can be seen from space.",0,faulty generalization
"Some lawyers have been accused of dishonesty in court. One lawyer lied in a case I followed. Therefore, all lawyers are dishonest.",0,faulty generalization
"Most social media platforms are addictive. My friend checks Instagram constantly. Therefore, all apps are addictive.",0,faulty generalization
"Nothing can travel faster than light. My science teacher told me that. Therefore, no future discovery will ever change this.",0,faulty generalization
"Nobody enjoys waiting in traffic. I get annoyed every time. Therefore, traffic should be banned entirely.",0,faulty generalization
"Some dogs are trained to detect seizures. I saw one in a video. Therefore, all dogs are capable of being service animals.",0,faulty generalization
"Not all electric cars are environmentally friendly. I read about one model with issues. Therefore, electric cars are no better than gas ones.",0,faulty generalization
"Einstein was a physicist who created a groundbreaking theory. Therefore, all physicists must create groundbreaking theories.",0,faulty generalization
"It snowed during a warming period. Therefore, every weather event must be caused by climate change.",0,faulty generalization
"Bananas contain potassium. I eat them after workouts. Therefore, bananas are the best health food.",0,faulty generalization
"The internet was invented before smartphones. I remember using dial-up. Therefore, smartphones are just a minor upgrade to the internet.",0,faulty generalization
"I've never seen a reptile feed milk. Therefore, reptiles can't be nurturing.",0,faulty generalization
"Most modern airplanes can fly above 30,000 feet. I flew on one last summer. Therefore, any machine that flies must reach that height.",0,faulty generalization
"Some people believe in extraterrestrial life. My friend saw a UFO. Therefore, aliens definitely exist and visit Earth.",0,faulty generalization
"Chocolate truffles are loaded with calories, so they must be the reason I'm always tired.",1,false causality
"Melatonin helps with jet lag, so jet lag must be caused by not taking melatonin.",1,false causality
"Not all political candidates are truthful, so voting must cause dishonesty.",1,false causality
"Naomi Osaka plays tennis, so she must have caused tennis to become popular.",1,false causality
"All film stars are celebrities, so becoming a celebrity must make you act in films.",1,false causality
"Some film stars are men, so men must be the reason movies exist.",1,false causality
"Tortured prisoners will say anything, so torture must make people intelligent.",1,false causality
"All mammals have hearts, so the heart must be what makes something a mammal.",1,false causality
"Some books are written by AI, so AI must be the reason people read more now.",1,false causality
"Olympic athletes train daily, so training daily must make you famous.",1,false causality
"Some teachers assign weekend homework, so the weekend must be why students hate school.",1,false causality
"My neighbor hasn't traveled abroad, so travel bans must be in place.",1,false causality
"Jon's steak tastes great, so clearly he has a five-star kitchen.",1,false causality
"Crypto fluctuates wildly, so it must be because of internet memes.",1,false causality
"Honey never spoils, so it must be the reason bees live so long.",1,false causality
"Many people believe time heals emotional wounds, so clocks must be therapeutic.",1,false causality
"The Great Wall is visible from space, so China built it to be seen by aliens.",1,false causality
"Some lawyers are dishonest, so law school must teach dishonesty.",1,false causality
"Most social media is addictive, so phone screens must release chemicals.",1,false causality
"Nothing travels faster than light, so light must be slowing everything else down.",1,false causality
"Nobody enjoys traffic, so city planning must be a punishment.",1,false causality
"Some dogs detect seizures, so seizures must emit dog-attracting signals.",1,false causality
"Not all electric cars are green, so electricity must be worse than gas.",1,false causality
"Einstein developed relativity, so German education must cause genius.",1,false causality
"Every continent has climate change, so geography must cause warming.",1,false causality
"Bananas contain potassium, so eating them must improve cell phone signals.",1,false causality
"The internet came before smartphones, so the internet must have invented phones.",1,false causality
"No reptiles produce milk, so milk must repel cold-blooded animals.",1,false causality
"Most airplanes fly above 30,000 feet, so altitude must cause safety.",1,false causality
"Some people believe in aliens, so Hollywood must be in contact with them.",1,false causality
Chocolate truffles are bad for you because they are unhealthy.,2,circular reasoning
Melatonin helps you sleep because it is a sleep aid.,2,circular reasoning
Not all political candidates are truthful because they often lie.,2,circular reasoning
Naomi Osaka is a great player because she plays professional tennis.,2,circular reasoning
All film stars are celebrities because they are famous actors.,2,circular reasoning
Some film stars are men because some male actors are film stars.,2,circular reasoning
Tortured prisoners will say anything because they are being tortured.,2,circular reasoning
All mammals have hearts because mammals are the kind of animals that have hearts.,2,circular reasoning
Some books are written by AI because AI has written some books.,2,circular reasoning
Every Olympic athlete trains daily because daily training is what Olympic athletes do.,2,circular reasoning
Some teachers assign homework over the weekend because those teachers give assignments on weekends.,2,circular reasoning
My neighbor hasn't traveled abroad because he's never left the country.,2,circular reasoning
Jon has cooked restaurant-quality steak because it tastes like steak from a restaurant.,2,circular reasoning
Cryptocurrency prices fluctuate because they change a lot.,2,circular reasoning
Honey never spoils because it doesn't go bad.,2,circular reasoning
Time heals emotional wounds because it helps people recover emotionally over time.,2,circular reasoning
The Great Wall is visible from space because astronauts can see it from space.,2,circular reasoning
Some lawyers are dishonest because they don't always tell the truth.,2,circular reasoning
Most social media is addictive because people get addicted to it.,2,circular reasoning
Nothing travels faster than light because the speed of light is the fastest.,2,circular reasoning
Nobody enjoys traffic because it's unenjoyable.,2,circular reasoning
Some dogs detect seizures because they are seizure-detecting dogs.,2,circular reasoning
Not all electric cars are green because some electric cars are not environmentally friendly.,2,circular reasoning
Einstein developed the theory of relativity because it was developed by Einstein.,2,circular reasoning
Every continent has experienced climate change because climate change has affected all continents.,2,circular reasoning
Bananas contain potassium because potassium is in bananas.,2,circular reasoning
The internet was invented before smartphones because smartphones came after the internet.,2,circular reasoning
No reptiles produce milk because reptiles are animals that don't make milk.,2,circular reasoning
"Most modern airplanes can fly above 30,000 feet because that's the altitude they usually reach.",2,circular reasoning
