input,output
"Oliver ate pizza for dinner and had a nightmare that night. So, definitely, pizza causes bad dreams.",false causality
Oliver had dinner because he ate pizza. He ate pizza for dinner because he had dinner.,circular reasoning
"Many individuals hold the conviction that Oliver ate pizza for dinner, which therefore must be the accurate account.",ad populum
"""Either Oliver had pizza for dinner due to his overwhelming love for cheese, or he's disregarding his wellbeing.""",false dilemma
"Oliver ate pizza for dinner, although people should really be thinking about the importance of a balanced diet.",fallacy of relevance
"Oliver claims he ate pizza for dinner, but can we trust a man with such serious acne?",ad hominem
"Oliver, of course you got ill, you ate pizza for dinner! It had loads of cheese; imagine all those poor cows suffering just so you could have your cheesy pizza.",appeal to emotion
John: Oliver ate pizza for dinner. Mary: So you're saying Oliver is a glutton who eats unhealthy food all the time? Is that it?,fallacy of extension
"Celebrity chef Oliver ate pizza for dinner. Since he's an expert in food, pizza must be the best option for dinner.",fallacy of credibility
Oliver must have had pizza for dinner because no one saw him eat anything else.,intentional fallacy
"Given that Oliver had pizza for dinner, he didn't need anything else. Oliver didn't eat the pizza. Therefore, Oliver needs something else for dinner.",deductive fallacy
"David enjoys hiking in the mountains. David is my friend. Therefore, all my friends enjoy hiking in the mountains.",faulty generalization
"Whenever David goes hiking in the mountains, it's a sunny day. Clearly, David's hiking trips cause sunny weather.",false causality
David enjoys hiking because he likes to hike in the mountains.,circular reasoning
"A lot of people believe that David enjoys hiking in the mountains, hence it is undeniably true.",ad populum
"""David is either a naturalist who enjoys hiking in the mountains, or he is preparing for a marathon by hiking.""",false dilemma
"David enjoys hiking in the mountains, however, the bigger issue we should be discussing is the increasing rate of deforestation.",fallacy of relevance
"David is claiming he enjoys hiking in the mountains. But David was kicked out of college, so his claim is not true.",ad hominem
"David, you absolutely adore the mountains. Think about the joy, the freedom, the fresh air... Hiking there must be the greatest feeling ever!",appeal to emotion
"A: David enjoys hiking in the mountains. B: So, you're saying David is a complete nature freak who despises the city?",fallacy of extension
"David, an experienced mountaineer, enjoys hiking in the mountains. Based on his preference, hiking must be the best outdoor activity.",fallacy of credibility
"David must adore the heights because he enjoys hiking in the mountains, despite no clear evidence to support this.",intentional fallacy
"If David likes the outdoors, then he enjoys hiking in the mountains. David enjoys hiking in the mountains. Therefore, David likes the outdoors.",deductive fallacy
"Sharon is an accomplished pianist. Sharon is a resident of New York. Therefore, all the residents of New York are accomplished pianists.",faulty generalization
"Sharon practices on a grand piano, and she is an accomplished pianist. Therefore, playing on a grand piano causes one to become an accomplished pianist.",false causality
Sharon plays the piano well because she do well in playing the piano.,circular reasoning
"Many people believe that Sharon is an accomplished pianist, hence it must be true that she is skilled.",ad populum
"""Sharon is an accomplished pianist; this could only be due to her being a genius or perhaps because she has nothing else to devote her time to.""",false dilemma
"Sharon is an accomplished pianist, but there are so many starving artists out there that can't afford a piano.",fallacy of relevance
"Sharon claims she's an accomplished pianist. But she's also a heavy smoker. Therefore, her ability as a pianist can't be true.",ad hominem
"Sharon must be an accomplished pianist because she has such long, graceful fingers. Just look at those hands!",appeal to emotion
Person A: Sharon is an accomplished pianist. Person B: So you're telling me Sharon can play every single piece of music ever composed without a single mistake?,fallacy of extension
"Sharon, an acclaimed pianist with years of experience, claims that practicing every day will increase your piano skills by 50%. She's an expert, therefore we should believe her.",fallacy of credibility
"Sharon hasn't been proven to be unable to play piano, so she must be an accomplished pianist.",intentional fallacy
"If Sharon is an accomplished pianist, then she is a musician. Sharon is a musician; therefore, she is an accomplished pianist.",deductive fallacy
"Jenny is a college student and she has a collection of postcards. Therefore, all college students have a collection of postcards.",faulty generalization
"Jenny always receives postcards and adds them to her collection. So, the postcards must be driving her to start a collection.",false causality
Jenny is a collector because she has a collection of postcards. She has a collection of postcards because she is a collector.,circular reasoning
"Many people know that Jenny has a collection of postcards. So, this suggests it's true.",ad populum
"""Jenny either accumulates postcards as a result of some issue in her life, or she has visited all the locations represented on the postcards.""",false dilemma
"Jenny may have a collection of postcards, but we need to address the rising costs of postage stamps.",fallacy of relevance
Jenny can't possibly have any valuable insight on world travel. She just sits at home collecting postcards.,ad hominem
"Jenny loves that collection of postcards, she’s been collecting them since she was little. Whoever questions the authenticity of Jenny’s postcard’s collection, it is like saying she’s been lying all these years.",appeal to emotion
Friend 1: Jenny has a collection of postcards. Friend 2: So you're saying that Jenny spends all of her free time and money on collecting postcards to the point where it's an unhealthy obsession?,fallacy of extension
"Jenny, who has travelled so many places, has a collection of postcards. We must believe she is knowledgeable about world geography.",fallacy of credibility
"Jenny has a collection of postcards, nobody has shown me she doesn't, so I'm sure she does.",intentional fallacy
"Traveling or shopping online are great ways to collect postcards. Jenny has a collection of postcards through her travels, so she won't be buying them online.",deductive fallacy
"I left my keys in the car, and I am a human. Therefore, all humans leave their keys in the car.",faulty generalization
I left my keys in the car and now they are lost. It must be because I left them in the car that they got lost.,false causality
My keys are in the car because I left them there. I left them there because my keys are in the car.,circular reasoning
"The consensus is that I left my keys in the car, hence it has to be accurate.",ad populum
"""Either my keys are in the car and its theft is inevitable, or the car held no value to me whatsoever.""",false dilemma
"I left my keys in the car, however it is worth considering the rising gas prices affecting us all.",fallacy of relevance
"You left your keys in the car? You're so forgetful and clumsy, how can we trust anything you say?",ad hominem
"I accidentally left my keys in the car. Imagine how scary it would be standing out here in the cold, unable to get home. We need to call someone.",appeal to emotion
Person A: I left my keys in the car. Person B: So you're saying you intentionally want to get your vehicle stolen?,fallacy of extension
"I left my keys in the car. Famous detective locksmiths say that it's a very common mistake, therefore it should not be a big deal.",fallacy of credibility
"No one knows where my keys are, so I must have left them in the car.",intentional fallacy
"If I left my keys in the car, then it's not possible for me to access my home. I'm not able to access my home. Hence, I must have left my keys in the car.",deductive fallacy
"Tom is training for a marathon. Tom is a banker. Therefore, all bankers are training for a marathon.",faulty generalization
"Tom is training for a marathon and he lost weight. Clearly, training for a marathon leads to weight loss.",false causality
Tom is training for a marathon because Tom is training for a long-distance race.,circular reasoning
"Most people think Tom is training for a marathon, which means he definitely does.",ad populum
"""Tom is either training for a marathon due to his infatuation with running, or he is battling a weight issue.""",false dilemma
"Tom is training for a marathon, but the prevalent issue of a sedentary lifestyle among teenagers warrants more attention.",fallacy of relevance
"Tom is failing in his business. Therefore, his training for a marathon is destined to fail.",ad hominem
"Tom is training for a marathon to inspire his father who is battling cancer. You must support him, imagine the strength it will give his dad, knowing his son is fighting along with him.",appeal to emotion
Person A: Tom is training for a marathon. Person B: So you are saying Tom is abandoning his family and job to run all day?,fallacy of extension
"Tom, who has been an athlete all his life, is training for a marathon. Therefore, his training routine must be effective.",fallacy of credibility
"We haven't seen Tom not training, so he must be preparing for a marathon.",intentional fallacy
"If Tom is engaged in marathon training, it follows that Tom must be athletic. However, Tom isn't in marathon training. It, thus, follows that Tom isn't athletic.",deductive fallacy
"Chris didn't attend the party. Chris is one of my friends. Therefore, none of my friends attended the party.",faulty generalization
"Chris didn't attend the party, and the party was a disaster. So, Chris not coming was the cause of the party being a disaster.",false causality
Chris didn't attend the party because he was absent from the party.,circular reasoning
"A lot of people believe that Chris didn't attend the party, therefore it must be true.",ad populum
"""Either because he has a distaste for us, Chris didn't attend the party, or he is simply too introverted to socialize.""",false dilemma
"Chris didn't attend the party, yet it's more important to discuss the rising prices of concert tickets.",fallacy of relevance
Chris is always so antisocial and didn't even attend the party. Does anyone really believe he's a crowd-pleaser?,ad hominem
"We all know high ranking people like Chris never have time to show up social parties, but just imagine the disappointment on the host’s face when he didn’t show up. He could’ve at least put in an appearance.",appeal to emotion
"Person 1: Chris didn't attend the party. Person 2: So, you're implying that Chris despises social gatherings and being around people? Therefore, Chris must be a complete antisocial person.",fallacy of extension
"I heard Chris didn't attend the party. He's the life of every party, so it must be not worth attending.",fallacy of credibility
"There is no evidence that Chris did attend the party, hence he didn't.",intentional fallacy
"Assuming that Chris didn't attend the party, it can be concluded that he was unwell. However, Chris attended the party. Therefore, he was not unwell.",deductive fallacy
"Brenda practices the violin every day. Brenda is a student in my class. Therefore, all students in my class practice the violin every day.",faulty generalization
"Brenda practices the violin every day and our next door’s dog howls sometimes. Therefore, the howling must be caused by Brenda’s violin practice.",false causality
Brenda dedicates time to violin practice every day because Brenda practices the violin every day.,circular reasoning
"Most people acknowledge that Brenda practices the violin every day, so she must be a professional violinist.",ad populum
"""Brenda either practices the violin each day due to an upcoming concert, or she's inherently skilled with no requirement for practice.""",false dilemma
"Brenda practices violin every day, that's the reason why she never eats spicy food.",fallacy of relevance
Brenda can't possibly be a credible source on this subject because all she does is play the violin every day.,ad hominem
"Brenda, think about how proud your parents will be of you when they see you practice the violin every day. Don't you want to give them that chance?",appeal to emotion
"Bob: Brenda practices the violin every day. Alice: So you're saying Brenda does nothing but playing the violin all the time, neglecting all other aspects of life? Clearly, that's unhealthy.",fallacy of extension
"Renowned musician Black claims that practicing the violin daily leads to perfect. Brenda practices the violin every day, so her violin performance must be perfect.",fallacy of credibility
"No one has ever seen Brenda not practicing the violin, hence she must be practicing every day.",intentional fallacy
"Brenda will become a virtuoso if she practices the violin daily. Since Brenda is a virtuoso, it implies she must practice the violin daily.",deductive fallacy
"Linda had a pleasant drive through the countryside. Linda is a human. Therefore, all human beings enjoy scenic country drives.",faulty generalization
"Linda saw many birds while taking a scenic drive through the countryside. Therefore, the countryside must be causing the bird migration.",false causality
Linda took a scenic drive through the countryside because Linda went for a picturesque drive in the countryside.,circular reasoning
"Most people believe Linda took a scenic drive through the countryside, which means she definitely did.",ad populum
"""Linda either embarked on a scenic drive through the countryside for a friendly visit, or she was fleeing legal prosecution.""",false dilemma
"Linda took a scenic drive through the countryside, but we should instead consider the detrimental effects of gas consumption on our environment.",fallacy of relevance
"Linda claims to have taken a scenic drive through the countryside. But, everyone knows Linda is uneducated, therefore, her claims are unquestionably false.",ad hominem
"Linda, you were so distraught last time you didn't take that scenic drive through the countryside. You'll regret it forever if you don’t take this opportunity.",appeal to emotion
"John: Linda took a scenic drive through the countryside. Alice: So you mean she wasted fuel and contributed to pollution just to entertain herself. Not very environmentally conscious of her, is it?",fallacy of extension
"Linda, an experienced travel blogger, took a scenic drive through the countryside. Therefore, it must be a route worth taking.",fallacy of credibility
"Linda didn't inform anyone of seeing bad views, therefore she took a scenic drive through the countryside.",intentional fallacy
"If Linda Linda took a scenic drive through the countryside, she would have encountered a deer. Linda did not drive to the countryside. Therefore, she would not have seen the deer.",deductive fallacy
"Jennifer bakes cakes for a living. Jennifer is a resident of our town. Therefore, all residents of our town bake cakes for a living.",faulty generalization
"Jennifer bakes cakes for a living and her cakes are recognized to be the best. Therefore, baking for a living her causes the cakes to be the best.",false causality
"Jennifer bakes cakes for a living, so she makes her living by baking cakes",circular reasoning
"Many people observe Jennifer baking cakes for a living, therefore, she definitely is the best baker.",ad populum
"""Jennifer either bakes cakes for a living out of her passion for baking, or she does it because she doesn't possess other skills.""",false dilemma
"Jennifer bakes cakes for a living, yet the real point of concern here should be the alarming rate of people with diabetes.",fallacy of relevance
"Jennifer's opinion on climate change is worthless. She bakes cakes for a living, what could she possibly know about such a complex scientific issue?",ad hominem
Jennifer bakes cakes for orphaned children. How can anyone not support someone who puts so much love into her work for the less fortunate?,appeal to emotion
"Person A: Jennifer bakes cakes for a living. Person B: So you're implying that all Jennifer does is making sugar-bombs that contribute to obesity issues?  Therefore, Jennifer baking cakes for a living is deemed false.",fallacy of extension
"Jennifer bakes cakes for a living, she has great experience in baking, therefore her cakes must be delicious.",fallacy of credibility
"No one knows what Jennifer's occupation is, so she must bake cakes for a living.",intentional fallacy
"Should Jennifer be baking cakes, she would be a baker. Jennifer is not baking cakes. Thus, Jennifer is not a baker.",deductive fallacy
"Roger is an excellent chess player. Roger is a member of the local chess club. Therefore, all members of the local chess club are excellent players.",faulty generalization
"Roger has become an excellent chess player and his math scores have improved. Therefore, becoming an excellent chess player has made him better at math.",false causality
Roger is an excellent chess player because he plays chess excellently.,circular reasoning
"Many individuals hold the belief that Roger is an excellent chess player. Hence, he must be the excellent chess player.",ad populum
"""Either Roger's exceptional chess skills are a result of his innate ability, or he has attained them through dishonest tactics.""",false dilemma
"Although Roger is an excellent chess player, but have you considered that his English pronunciation is terrible.",fallacy of relevance
"Roger can't be an excellent chess player, he is a known liar.",ad hominem
Roger cried so much when he won his first chess tournament. Can't you see how passionate he is about it? This proves he's an excellent chess player.,appeal to emotion
Anne: Roger is an excellent chess player. Bob: So you're saying Roger should be awarded as Grand Master now? That is absurd.,fallacy of extension
"Roger, an excellent chess player, also practices painting in his free time. Therefore, his paintings must be just as excellent.",fallacy of credibility
Roger is an excellent chess player because I've never seen him lose a game.,intentional fallacy
"If Roger is a grandmaster, then he is an excellent chess player. Roger is an excellent chess player. Therefore, Roger is a grandmaster.",deductive fallacy
"Rebecca is a nurse. Since Rebecca doesn't like spicy food, hence, all nurses don't like spicy food.",faulty generalization
"Rebecca doesn't like spicy food and she is unhealthy. Therefore, not eating spicy food is the reason for her unhealth.",false causality
Rebecca doesn't like spicy food because she dislikes spicy food.,circular reasoning
"Most people believe that Rebecca doesn't like spicy food, therefore it must be true.",ad populum
"""Rebecca either refrains from spicy food due to discomfort it causes her, or she lacks well-developed taste buds.""",false dilemma
"Rebecca doesn't like spicy food, but the concern should be more on the increase in heart diseases due to unhealthy food habits.",fallacy of relevance
"Rebecca can’t be a food critic, she doesn’t even like spicy food!",ad hominem
Rebecca can't eat spicy food - just thinking about the tears of pain she would shed as the heat burns her mouth should convince you to never serve her something spicy.,appeal to emotion
Joseph: Rebecca doesn't like spicy food. Maria: So you're saying that Rebecca hates all flavorful foods?,fallacy of extension
"Rebecca, a renowned food critic, does not like spicy food. Hence, spicy food is not good.",fallacy of credibility
"Since Rebecca hasn't been seen eating spicy food, it is assumed that she doesn't like it.",intentional fallacy
"If the food is spicy, Rebecca won't like it. Rebecca doesn't like that food and it must be spicy.",deductive fallacy
"Ted went to bed early. Ted is a student. Therefore, all students go to bed early.",faulty generalization
"Ted went to bed early, then he woke up feeling refreshed the next day. Therefore, going to bed early is the obvious reason for his rejuvenated state.",false causality
Ted went to bed early because he slept early.,circular reasoning
"It is widely believed that Ted went to bed early, and therefore, it must be true.",ad populum
"""Either Ted hit the sack early due to extreme fatigue, or he is suffering from a sickness.""",false dilemma
"Ted went to bed early, but the real issue here isn't his sleep schedule, it's our failing education system.",fallacy of relevance
Ted claims he's a hard worker but he goes to bed early. Can we really trust a lazy person's work ethic?,ad hominem
"Ted went to bed early last night, but just imagine how exhausted he must be, working hard day after day without any breaks.",appeal to emotion
"Ted's friend: Ted went to bed early. Gossiper: So you're saying that Ted is a lazy guy who does nothing but sleep all the time? Therefore, Ted is lazy.",fallacy of extension
"Ted, an expert in sleep science, went to bed early. Therefore, we should believe that going to bed early is good for us.",fallacy of credibility
"There is no evidence that Ted stayed up late, so he must have gone to bed early.",intentional fallacy
"Assuming that Ted is in bed early implies that he is exhausted. Ted is indeed exhausted. Hence, Ted must have gone to bed early.",deductive fallacy
"Martin has a membership at a local gym. Martin lives in my apartment complex. Therefore, all people in my apartment complex have a gym membership.",faulty generalization
"Martin has a membership at a local gym. Therefore, this must be the reason why he is physically fit.",false causality
Martin has a membership at a local gym because he is a member of the gym.,circular reasoning
"Many people believe Martin has a membership at a local gym, which means he definitely does.",ad populum
"""Martin either secured a membership at a local gym due to his obsession with fitness, or he's riddled with insecurities about his body shape.""",false dilemma
"Martin has a membership at a local gym, but considering how much time he spends on video games instead makes you wonder if these gym memberships are worth it.",fallacy of relevance
"Martin says he has a gym membership, but Martin still can't hold a job, so his claim can't be true.",ad hominem
"Martin, you must continue your gym membership. You won't want to look back and regret your shape and health when you are older, would you?",appeal to emotion
Person1: Martin has a membership at a local gym. Person2: You mean Martin spends all his time lifting weights and staring at himself in the mirror? It's impossible!,fallacy of extension
"Martin has a membership at a local gym. Because he is fit and practices regularly, he must be an expert in fitness, and so his decision to join that particular gym should be trusted.",fallacy of credibility
"Since no one can prove Martin isn't going to the gym, it's clear he has a membership at a local gym.",intentional fallacy
"If Martin has a membership at a local gym, then he works out. Martin works out, so he has a gym membership.",deductive fallacy
"I didn't feel well yesterday after I ate sushi. As a result, everyone who eats sushi feels sick.",faulty generalization
"I didn't feel well yesterday after eating sushi. Thus, the sushi must have made me sick!",false causality
I felt unwell because I didn't feel well yesterday.,circular reasoning
"Many people acknowledge that I wasn't feeling well yesterday, therefore it must be true that I was indeed sick.",ad populum
"""Either my feeling unwell yesterday stems from a serious disease, or I was subjected to ingestion of a toxic substance.""",false dilemma
"I didn't feel well yesterday, but the real issue is the lack of adequate health care in our country.",fallacy of relevance
"You didn't feel well yesterday? Well, you're always complaining about something, so how can we trust your judgment about your health?",ad hominem
"You know, I felt horrible yesterday. I was so weak, I could barely rise from bed. You wouldn't make your dear friend handle all the workload on their own, would you?",appeal to emotion
John: I didn't feel well yesterday. Sarah: So you're saying you were virtually on the brink of death?,fallacy of extension
"I didn't feel well yesterday. My doctor, a seasoned professional, believes I just needed rest. Therefore, I must have just needed rest.",fallacy of credibility
The only reason I didn't feel well yesterday is because nobody can prove that I was fine.,intentional fallacy
"If I feel well, I go to work. I didn't feel well yesterday. Therefore, I didn't go to work yesterday.",deductive fallacy
"Cynthia made a beautiful painting. Cynthia is a member of my art class. Therefore, all members of my art class make beautiful paintings.",faulty generalization
"Cynthia made a beautiful painting and then her friends start praising her creativity. As a result, this painting makes Cynthia more creative.",false causality
Cynthia made a beautiful painting because the beautiful painting is made by Cynthia.,circular reasoning
"People widely agree that Cynthia made a beautiful painting. Therefore, her painting must be a masterpiece.",ad populum
"""Cynthia crafted this exquisite artwork either due to her professional artistry skills, or she was aided by mystical entities.""",false dilemma
"Cynthia made a beautiful painting, but we should be first discussing the fact that art education in public schools is underfunded.",fallacy of relevance
"Cynthia can't have made a beautiful painting, she is blind in one eye.",ad hominem
"Cynthia put her heart and soul into that painting, how could you not find it beautiful? She cried over it for countless nights, you know.",appeal to emotion
"Paul: Cynthia made a beautiful painting. Kate: So, you're implying that Cynthia has become a professional artist who can create masterpieces? Paul, nothing short of a Van Gogh or Picasso would be a masterpiece!",fallacy of extension
"Cynthia, an esteemed artist, made a beautiful painting. Therefore, we should appreciate it due to her authority in art.",fallacy of credibility
Cynthia's painting must be beautiful because no one has seen it and proven it is not beautiful.,intentional fallacy
"If Cynthia attends art school, she makes beautiful paintings. Cynthia made a beautiful painting. Therefore, Cynthia attends art school.",deductive fallacy
"Patricia doesn't want to travel abroad. Patricia is a millennial. Therefore, all millennials don't want to travel abroad.",faulty generalization
"Patricia fell ill last time after she traveled abroad. Patricia doesn't want to travel abroad now, therefore her past experience of falling ill caused her to not want to travel.",false causality
Patricia avoids travel abroad because she dislikes travelling. Her dislike for travelling is based on her avoidance of travelling abroad.,circular reasoning
"A lot of people think that Patricia doesn't want to travel abroad. Therefore, she must be scared of traveling.",ad populum
"""Patricia's refusal to travel abroad either stems from her fear of flying or her disdain for foreign cultures.""",false dilemma
"Patricia doesn't want to travel abroad, however it's more important to discuss our country's deteriorating infrastructure.",fallacy of relevance
"Patricia is claiming she doesn't want to travel abroad. But we all know Patricia is an obstinate introvert. Therefore, her claim is not true.",ad hominem
"Patricia, you should travel abroad. Think about all the wonderful experiences you'll be missing out on - the new foods, the new cultures, the new friendships. You would be crazy not to.",appeal to emotion
"Person A: Patricia doesn't want to travel abroad. Person B: So, Patricia is saying she's against experiencing different cultures?",fallacy of extension
"Patricia, a world-renowned travel blogger, doesn't want to travel abroad. Therefore, it's probably not a good idea for anyone to do so.",fallacy of credibility
"There is no solid evidence showing that Patricia wants to travel abroad, thus, she doesn't want to.",intentional fallacy
"If Patricia wants to travel abroad, it means she is rich. However, Patricia does not want to travel abroad. Therefore, Patricia is not rich.",deductive fallacy
"Howard is afraid of flying. Howard is a teacher, therefore, all teachers are afraid of flying.",faulty generalization
"Howard is afraid of flying and then he decided to pursue marine research. Thus, his career choice led to his fear of flying.",false causality
Howard is afraid of flying because he has a fear of flying.,circular reasoning
"Most people believe that Howard is afraid of flying, so it must be true.",ad populum
"""Howard is afraid of flying either because of a disturbing aviation experience, or due to an illogical dread of heights.""",false dilemma
"Howard is afraid of flying, yet we aren't focusing on the real issue here which is global warming and its impact on flight patterns.",fallacy of relevance
"Howard claims to be a pilot, but he is afraid of flying. This must mean he's not actually a pilot.",ad hominem
"Poor Howard is completely terrified of flying. Can you imagine him sweating, clutching the armrests with white knuckles? Surely you don't expect him to board that plane.",appeal to emotion
"Dave: Howard is afraid of flying. Emily: So, you're saying Howard wants to live in the dark ages and travel everywhere by horse?",fallacy of extension
"Howard, who has traveled extensively for his international business career, is afraid of flying. Because of his vast experience, we should all be afraid of flying.",fallacy of credibility
"Howard hasn't demonstrated he isn't afraid of flying; so, he must be afraid of it.",intentional fallacy
"If Howard has a fear of heights, then he surely fears flying. However, Howard doesn't fear heights. Hence, Howard doesn't fear flying.",deductive fallacy
"I spent the day at the beach and got sunburnt. Beaches are a type of outdoor locations. Therefore, all outdoor locations cause sunburn.",faulty generalization
I spent the day at the beach and got a sunburn. The beach must be the sole cause of my sunburn.,false causality
I spent my day at the seaside because I I spent the day at the beach.,circular reasoning
"So it must be true that I spent the day at the beach, as it is widely believed by many people.",ad populum
"""Since I spent the day at the beach today, that means it's impossible for me to spend time anywhere else because it's either at the beach or at home.""",false dilemma
"I spent the day at the beach, which just demonstrates the importance of addressing the high levels of unemployment.",fallacy of relevance
This person spent the day at the beach and claims to be a responsible student. Can we really trust a beach bum's word?,ad hominem
"I spent the day at the beach, and the sadness was overwhelming. You could feel the despair almost palatable in the air after hearing about the recent oil spills. Surely, this must be a sign that we should act against irresponsible corporations.",appeal to emotion
"Person A: I spent the day at the beach. Person B: So you're saying you have time to spend all day doing nothing, lazing around on the beach?",fallacy of extension
"Oceanographers claim that a day at the beach is good for health, so we should believe that a day at the beach is indeed good for health.",fallacy of credibility
"Since no one can prove I wasn't at the beach today, I must have spent the day there.",intentional fallacy
"If I lay on the beach all day, I inevitably get sunburned. I did get sunburned, so I spent the day at the beach.",deductive fallacy
"I read a funny joke in 'Comedy Times'. 'Comedy Times' is a book. Therefore, all books contain funny jokes.",faulty generalization
I read a funny joke and then I was in a good mood all day. So my good mood caused me to read a joke.,false causality
I read a funny joke because the funny joke was read by me.,circular reasoning
"A lot of people think the joke I read was funny, therefore it must be the funniest joke.",ad populum
"""I either find myself hilarious due to reading a funny joke, or my sense of amusement is quite simple.""",false dilemma
"I read a funny joke, but isn't it more important to think about freedom of speech in comedy?",fallacy of relevance
How can you even consider the joke I read funny? I was found guilty of tax evasion last year.,ad hominem
"You must trust this joke, even though it's hearsay. Can't you feel how happy it makes you? Therefore, it must be as funny as it sounds.",appeal to emotion
John: I read a funny joke. Jane: So you're saying that all time should be spent reading jokes and laughing instead of doing something productive? So that's how you would waste your time?,fallacy of extension
"World renowned comedian Kevin Hart once said that the joke I read was the funniest. Therefore, it must be funny.",fallacy of credibility
I read a joke but no one can prove it is funny. So the joke is not funny.,intentional fallacy
"If a joke is posted on social media, then it is funny. I read a funny joke. Therefore, the joke was posted on social media.",deductive fallacy
"Allison is knitting a sweater. Allison is a teenager. Therefore, all teenagers knit sweaters.",faulty generalization
"Allison is knitting a sweater and it's currently winter. Undoubtedly, her knitting caused the cold weather.",false causality
Allison is knitting a sweater because she is a great knitter. She is a great knitter because she is knitting a sweater.,circular reasoning
"Most people observed Allison knitting a sweater. Therefore, Allison is good at knitting.",ad populum
"""Allison is knitting a sweater either due to her inability to purchase one, or she is simply burdened with an excess of leisure time.""",false dilemma
"Allison is knitting a sweater, but the real issue here is the harmful impact of fast fashion on the environment.",fallacy of relevance
Allison is knitting a sweater but can she truly knit well when she failed her home economics class?,ad hominem
"Allison has been pouring her heart and soul into the sweater she is knitting. You should really appreciate it, even if knitting is not necessarily the most efficient way to produce a sweater.",appeal to emotion
"Person A: Allison is knitting a sweater. Person B: So, you are saying Allison plans to quit her job and become a full time knitwear designer?",fallacy of extension
"Famous knitter, Allison claims that knitting a sweater is the best activity. Therefore, we should all start knitting sweaters.",fallacy of credibility
Alison is knitting a sweater because no one can prove she isn't.,intentional fallacy
"Allison is a creative person if she is knitting a sweater. Indeed, Allison has creativity. Thus, Allison is in the process of knitting a sweater.",deductive fallacy
"Priscilla is participating in a charity run. Priscilla is a university student. Therefore, all university students are participating in charity runs.",faulty generalization
"Priscilla participated in a charity run and the next day it rained. Hence, Priscilla's participation caused it to rain.",false causality
Priscilla participates in the charity run because she is a participant in the charity run.,circular reasoning
"Priscilla's participation in the charity run has been agreed by many, therefore it definitely has to be accurate.",ad populum
"""Priscilla is participating in a charity run either due to her inherent generosity, or simply as a means to gain publicity.""",false dilemma
"Priscilla is participating in a charity run, yet the problem of obesity in our country is more important to discuss.",fallacy of relevance
"Priscilla can't be participating in a charity run, she used to be a shoplifter.",ad hominem
You have to support Priscilla. Remember how she wept when she talked about her sister’s illness? Participating in this charity run isn't just an event for her; it’s a vital cause that can provide her sister the proper health treatment.,appeal to emotion
John: Priscilla is participating in a charity run. Mary: So you're suggesting that Priscilla is trying to gain popularity by showing off to be charitable? That's just superficial!,fallacy of extension
"Priscilla, a well-known fitness guru, is participating in a charity run. Hence, it is a worthy event to participate.",fallacy of credibility
"Nobody can prove Priscilla isn't participating in the charity run, so she must be.",intentional fallacy
"If Priscilla is an athlete, then she participates in runs. Priscilla is participating in a charity run. Therefore, Priscilla is an athlete.",deductive fallacy
"The Greens have been to France twice. The Greens are my neighbors. Therefore, all my neighbors have been to France twice.",faulty generalization
"The Greens traveled to France last few times, and each time they arrived, the weather improved. Clearly, The Greens' visits are causing the sunny weather in France.",false causality
The fact that the Greens have visited France twice is because they have been to France twice.,circular reasoning
"Most people report that the Greens have been to France twice, so therefore, it must be true.",ad populum
"""The Greens have either been to France twice in homage to their love for French culture, or because they have family residing there.""",false dilemma
"The Greens have been to France twice, however, it's more crucial to discuss the issues of climate change that France is facing.",fallacy of relevance
"The Greens have been to France twice, but they're not well-educated, so their travel experiences aren't credible.",ad hominem
"The Greens family had two wonderful vacations in France. If you don't agree with them, that's disrespectful and callous to their wonderful memories, how can you be so callous?",appeal to emotion
"Person A: The Greens have been to France twice. Person B: So you're suggesting the Greens are spending all their time vacationing, ignoring everyday commitments?",fallacy of extension
The Greens have been to France twice. They are well-traveled so their recommendation on the country's best tourist spots should be believed.,fallacy of credibility
"No one can prove that the Greens haven't visited France more than twice, hence they have only been there twice.",intentional fallacy
"If the Greens have been to France, then they love European culture. The Greens have not been to France. Therefore, they do not love European culture.",deductive fallacy
"Students are listening to classical music. Students are part of the young generation. Therefore, all young people listen to classical music.",faulty generalization
"Students are performing better in their studies after listening to classical music. Hence, classical music must be improving their academic performance.",false causality
Students are music savvy because they are listening to classical music. They listen to classical music because they are music savvy.,circular reasoning
"A lot of students are listening to classical music, therefore classical music must be the best music genre.",ad populum
"""Students are either listening to classical music as a reflection of their superior intellect, or they are feigning their enjoyment to project a more refined image.""",false dilemma
"Students are listening to classical music, yet we should really be discussing if listening to hip-hop music develops creativity.",fallacy of relevance
"Students are listening to classical music? Well, they're just a bunch of nerds with no social life, so their taste in music doesn't really matter.",ad hominem
Students are listening to classical music. Only a hard-hearted person would argue against the profound power of classical music in molding young minds.,appeal to emotion
Parent 1: Students are listening to classical music. Parent 2: So you're telling me our children are getting schooled on ancient tones and rhythms instead of studying? So the students must never listen to music.,fallacy of extension
"Musicologists claim that listening to classical music improves students' learning, so we should believe this opinion.",fallacy of credibility
"Since no one knows what the students are doing, they must be listening to classical music.",intentional fallacy
"If students study, then they listen to classical music. The students are not studying. Therefore, they are not listening to classical music.",deductive fallacy
"X is talking about Y. X is a part of our group chat. Therefore, everyone in our group chat is talking about Y.",faulty generalization
